"","MUNICIPIO","iteracion","ranking"
"627","SFO","Km,20",54
"628","SFO","Km,22",54
"629","SFO","Km,24",54
"630","SFO","Km,26",54
"631","Pacula","Km, 0",83
"632","Pacula","Km,2",72
"633","Pacula","Km,4",66
"634","Pacula","Km,6",66
"635","Pacula","Km,8",63
"636","Pacula","Km,10",62
"637","Pacula","Km,12",61
"638","Pacula","Km,14",61
"639","Pacula","Km,16",61
"640","Pacula","Km,18",60
"641","Pacula","Km,20",60
"642","Pacula","Km,22",60
"643","Pacula","Km,24",60
"644","Pacula","Km,26",60
"645","Pachuca","Km, 0",1
"646","Pachuca","Km,2",2
"647","Pachuca","Km,4",3
"648","Pachuca","Km,6",3
"649","Pachuca","Km,8",5
"650","Pachuca","Km,10",5
"651","Pachuca","Km,12",5
"652","Pachuca","Km,14",5
"653","Pachuca","Km,16",5
"654","Pachuca","Km,18",5
"655","Pachuca","Km,20",6
"656","Pachuca","Km,22",6
"657","Pachuca","Km,24",6
"658","Pachuca","Km,26",6
"659","Pisaflores","Km, 0",60
"660","Pisaflores","Km,2",74
"661","Pisaflores","Km,4",72
"662","Pisaflores","Km,6",74
"663","Pisaflores","Km,8",74
"664","Pisaflores","Km,10",74
"665","Pisaflores","Km,12",74
"666","Pisaflores","Km,14",74
"667","Pisaflores","Km,16",74
"668","Pisaflores","Km,18",74
"669","Pisaflores","Km,20",74
"670","Pisaflores","Km,22",74
"671","Pisaflores","Km,24",74
"672","Pisaflores","Km,26",74
"673","Progreso","Km, 0",23
"674","Progreso","Km,2",30
"675","Progreso","Km,4",31
"676","Progreso","Km,6",32
"677","Progreso","Km,8",33
"678","Progreso","Km,10",33
"679","Progreso","Km,12",33
"680","Progreso","Km,14",33
"681","Progreso","Km,16",34
"682","Progreso","Km,18",35
"683","Progreso","Km,20",35
"684","Progreso","Km,22",35
"685","Progreso","Km,24",35
"686","Progreso","Km,26",35
"687","Mineral De La Reforma","Km, 0",4
"688","Mineral De La Reforma","Km,2",4
"689","Mineral De La Reforma","Km,4",4
"690","Mineral De La Reforma","Km,6",5
"691","Mineral De La Reforma","Km,8",4
"692","Mineral De La Reforma","Km,10",4
"693","Mineral De La Reforma","Km,12",4
"694","Mineral De La Reforma","Km,14",4
"695","Mineral De La Reforma","Km,16",4
"696","Mineral De La Reforma","Km,18",4
"697","Mineral De La Reforma","Km,20",4
"698","Mineral De La Reforma","Km,22",4
"699","Mineral De La Reforma","Km,24",5
"700","Mineral De La Reforma","Km,26",5
"701","San Agustin Tlaxiaca","Km, 0",37
"702","San Agustin Tlaxiaca","Km,2",28
"703","San Agustin Tlaxiaca","Km,4",28
"704","San Agustin Tlaxiaca","Km,6",29
"705","San Agustin Tlaxiaca","Km,8",29
"706","San Agustin Tlaxiaca","Km,10",29
"707","San Agustin Tlaxiaca","Km,12",29
"708","San Agustin Tlaxiaca","Km,14",29
"709","San Agustin Tlaxiaca","Km,16",29
"710","San Agustin Tlaxiaca","Km,18",29
"711","San Agustin Tlaxiaca","Km,20",29
